#TYPE Selected.System.Management.Automation.PSCustomObject
"value","timestamp","Entity"
"17","09/03/2013 19:31:00","vmhost3 - vmdatastore04"
"0","09/03/2013 19:31:00","vmhost3 - vmdatastore03"
"1","09/03/2013 19:31:00","vmhost4 - vmdatastore02"
"0","09/03/2013 19:31:00","vmhost4 - vmdatastore06"
"0","09/03/2013 19:31:00","vmhost3 -vmdatastore01"
"3","09/03/2013 19:31:00","vmhost3 - vmdatastore10"
"7","09/03/2013 19:31:00","vmhost3 - vmdatastore01"
"1","09/03/2013 19:31:00","vmhost4 - vmdatastore08"
"0","09/03/2013 19:31:00","vmhost4 - vmdatastore03"
"6","09/03/2013 19:31:00","vmhost4 - vmdatastore01"
"0","09/03/2013 19:31:00","vmhost4 - vmdatastore04"
"0","09/03/2013 19:31:00","vmhost4 - vmdatastore07"
"0","09/03/2013 19:31:00","vmhost4 - vmdatastore05"
"0","09/03/2013 19:31:00","vmhost4 -vmdatastore01"
"0","09/03/2013 19:31:00","vmhost4 - vmdatastore09"
"0","09/03/2013 19:31:00","vmhost3 - vmdatastore09"
"0","09/03/2013 19:31:00","vmhost2 - vmdatastore07"
"0","09/03/2013 19:31:00","vmhost2 -vmdatastore01"
"1","09/03/2013 19:31:00","vmhost2 - vmdatastore09"
"0","09/03/2013 19:31:00","vmhost2 - vmdatastore02"
"0","09/03/2013 19:31:00","vmhost2 - vmdatastore06"
"0","09/03/2013 19:31:00","vmhost2 - vmdatastore05"
"0","09/03/2013 19:31:00","vmhost2 - vmdatastore08"
"1","09/03/2013 19:31:00","vmhost2 - vmdatastore01"
"10","09/03/2013 19:31:00","vmhost3 - vmdatastore08"
"0","09/03/2013 19:31:00","vmhost3 - vmdatastore02"
"0","09/03/2013 19:31:00","vmhost3 - vmdatastore07"
"1","09/03/2013 19:31:00","vmhost3 - vmdatastore05"
"0","09/03/2013 19:31:00","vmhost2 - vmdatastore03"
"1","09/03/2013 19:31:00","vmhost2 - vmdatastore10"
"0","09/03/2013 19:31:00","vmhost3 - vmdatastore06"
"0","09/03/2013 19:31:00","vmhost2 - vmdatastore04"
"0","09/03/2013 19:31:00","vmhost4 - vmdatastore10"
"3","09/03/2013 19:31:20","vmhost11 - vmdatastore09"
"0","09/03/2013 19:31:20","vmhost8 - vmdatastore02"
"0","09/03/2013 19:31:20","vmhost3 - vmdatastore07"
"0","09/03/2013 19:31:20","vmhost3 - vmdatastore09"
"0","09/03/2013 19:31:20","vmhost11 - vmdatastore07"
"10","09/03/2013 19:31:20","vmhost6 - vmdatastore01"
"0","09/03/2013 19:31:20","vmhost8 - vmdatastore06"
"0","09/03/2013 19:31:20","vmhost3 - vmdatastore08"
"0","09/03/2013 19:31:20","vmhost11 - vmdatastore01"
"0","09/03/2013 19:31:20","vmhost11 -vmdatastore01"
"1","09/03/2013 19:31:20","vmhost6 - vmdatastore10"
"0","09/03/2013 19:31:20","vmhost3 - vmdatastore05"
"1","09/03/2013 19:31:20","vmhost8 - vmdatastore08"
"0","09/03/2013 19:31:20","vmhost11 - vmdatastore06"
"2","09/03/2013 19:31:20","vmhost6 - vmdatastore09"
"3","09/03/2013 19:31:20","vmhost3 - vmdatastore10"
"0","09/03/2013 19:31:20","vmhost3 - vmdatastore03"
"0","09/03/2013 19:31:20","vmhost3 - vmdatastore04"
"0","09/03/2013 19:31:20","vmhost10 - vmdatastore04"
"0","09/03/2013 19:31:20","vmhost8 - vmdatastore07"
"0","09/03/2013 19:31:20","vmhost6 -vmdatastore01"
"0","09/03/2013 19:31:20","vmhost3 -vmdatastore01"
"0","09/03/2013 19:31:20","vmhost11 - vmdatastore05"
"0","09/03/2013 19:31:20","vmhost11 - vmdatastore08"
"1","09/03/2013 19:31:20","vmhost11 - vmdatastore02"
"2","09/03/2013 19:31:20","vmhost8 - vmdatastore05"
"3","09/03/2013 19:31:20","vmhost3 - vmdatastore01"
"0","09/03/2013 19:31:20","vmhost6 - vmdatastore03"
"0","09/03/2013 19:31:20","vmhost7 - vmdatastore01"
"0","09/03/2013 19:31:20","vmhost2 - vmdatastore07"
"0","09/03/2013 19:31:20","vmhost7 - vmdatastore08"
"0","09/03/2013 19:31:20","vmhost2 -vmdatastore01"
"2","09/03/2013 19:31:20","vmhost7 - vmdatastore10"
"4","09/03/2013 19:31:20","vmhost2 - vmdatastore09"
"0","09/03/2013 19:31:20","vmhost7 - vmdatastore07"
"0","09/03/2013 19:31:20","vmhost2 - vmdatastore02"
"0","09/03/2013 19:31:20","vmhost2 - vmdatastore06"
"0","09/03/2013 19:31:20","vmhost2 - vmdatastore08"
"4","09/03/2013 19:31:20","vmhost7 - vmdatastore05"
"0","09/03/2013 19:31:20","vmhost2 - vmdatastore05"
"0","09/03/2013 19:31:20","vmhost7 -vmdatastore01"
"0","09/03/2013 19:31:20","vmhost7 - vmdatastore02"
"0","09/03/2013 19:31:20","vmhost11 - vmdatastore03"
"0","09/03/2013 19:31:20","vmhost6 - vmdatastore04"
"0","09/03/2013 19:31:20","vmhost2 - vmdatastore04"
"0","09/03/2013 19:31:20","vmhost3 - vmdatastore06"
"0","09/03/2013 19:31:20","vmhost3 - vmdatastore02"
"5","09/03/2013 19:31:20","vmhost11 - vmdatastore10"
"1","09/03/2013 19:31:20","vmhost2 - vmdatastore10"
"0","09/03/2013 19:31:20","vmhost7 - vmdatastore03"
"0","09/03/2013 19:31:20","vmhost2 - vmdatastore01"
"0","09/03/2013 19:31:20","vmhost7 - vmdatastore06"
"0","09/03/2013 19:31:20","vmhost11 - vmdatastore04"
"0","09/03/2013 19:31:20","vmhost7 - vmdatastore04"
"0","09/03/2013 19:31:20","vmhost2 - vmdatastore03"
"0","09/03/2013 19:31:20","vmhost6 - vmdatastore07"
"1","09/03/2013 19:31:20","vmhost9 - vmdatastore10"
"2","09/03/2013 19:31:20","vmhost5 - vmdatastore02"
"0","09/03/2013 19:31:20","vmhost9 - vmdatastore03"
"0","09/03/2013 19:31:20","vmhost5 - vmdatastore08"
"0","09/03/2013 19:31:20","vmhost9 -vmdatastore01"
"1","09/03/2013 19:31:20","vmhost5 - vmdatastore05"
"26","09/03/2013 19:31:20","vmhost9 - vmdatastore01"
"0","09/03/2013 19:31:20","vmhost5 - vmdatastore06"
"0","09/03/2013 19:31:20","vmhost6 - vmdatastore06"
"0","09/03/2013 19:31:20","vmhost4 - vmdatastore04"
"0","09/03/2013 19:31:20","vmhost10 - vmdatastore06"
"0","09/03/2013 19:31:20","vmhost9 - vmdatastore04"
"0","09/03/2013 19:31:20","vmhost8 - vmdatastore04"
"0","09/03/2013 19:31:20","vmhost5 - vmdatastore10"
"0","09/03/2013 19:31:20","vmhost9 - vmdatastore02"
"0","09/03/2013 19:31:20","vmhost5 - vmdatastore01"
"0","09/03/2013 19:31:20","vmhost9 - vmdatastore06"
"0","09/03/2013 19:31:20","vmhost5 - vmdatastore04"
"0","09/03/2013 19:31:20","vmhost5 - vmdatastore03"
"0","09/03/2013 19:31:20","vmhost9 - vmdatastore08"
"3","09/03/2013 19:31:20","vmhost9 - vmdatastore09"
"0","09/03/2013 19:31:20","vmhost5 - vmdatastore07"
"0","09/03/2013 19:31:20","vmhost9 - vmdatastore07"
"2","09/03/2013 19:31:20","vmhost5 -vmdatastore01"
"0","09/03/2013 19:31:20","vmhost9 - vmdatastore05"
"0","09/03/2013 19:31:20","vmhost5 - vmdatastore09"
"0","09/03/2013 19:31:20","vmhost4 - vmdatastore05"
"0","09/03/2013 19:31:20","vmhost10 -vmdatastore01"
"0","09/03/2013 19:31:20","vmhost8 -vmdatastore01"
"6","09/03/2013 19:31:20","vmhost6 - vmdatastore08"
"0","09/03/2013 19:31:20","vmhost8 - vmdatastore01"
"0","09/03/2013 19:31:20","vmhost4 - vmdatastore07"
"1","09/03/2013 19:31:20","vmhost10 - vmdatastore09"
"1","09/03/2013 19:31:20","vmhost4 - vmdatastore08"
"0","09/03/2013 19:31:20","vmhost8 - vmdatastore09"
"0","09/03/2013 19:31:20","vmhost4 - vmdatastore06"
"0","09/03/2013 19:31:20","vmhost10 - vmdatastore03"
"8","09/03/2013 19:31:20","vmhost10 - vmdatastore10"
"0","09/03/2013 19:31:20","vmhost10 - vmdatastore01"
"1","09/03/2013 19:31:20","vmhost6 - vmdatastore05"
"0","09/03/2013 19:31:20","vmhost4 - vmdatastore02"
"5","09/03/2013 19:31:20","vmhost4 - vmdatastore10"
"0","09/03/2013 19:31:20","vmhost10 - vmdatastore08"
"6","09/03/2013 19:31:20","vmhost7 - vmdatastore09"
"0","09/03/2013 19:31:20","vmhost8 - vmdatastore03"
"0","09/03/2013 19:31:20","vmhost4 - vmdatastore03"
"2","09/03/2013 19:31:20","vmhost10 - vmdatastore02"
"5","09/03/2013 19:31:20","vmhost4 - vmdatastore01"
"2","09/03/2013 19:31:20","vmhost6 - vmdatastore02"
"0","09/03/2013 19:31:20","vmhost4 - vmdatastore09"
"0","09/03/2013 19:31:20","vmhost10 - vmdatastore07"
"0","09/03/2013 19:31:20","vmhost10 - vmdatastore05"
"2","09/03/2013 19:31:20","vmhost8 - vmdatastore10"
"0","09/03/2013 19:31:20","vmhost4 -vmdatastore01"
"4","09/03/2013 19:31:40","vmhost6 - vmdatastore09"
"0","09/03/2013 19:31:40","vmhost8 - vmdatastore07"
"0","09/03/2013 19:31:40","vmhost5 - vmdatastore03"
"0","09/03/2013 19:31:40","vmhost11 - vmdatastore04"
"0","09/03/2013 19:31:40","vmhost7 - vmdatastore02"
"0","09/03/2013 19:31:40","vmhost9 - vmdatastore06"
"0","09/03/2013 19:31:40","vmhost2 - vmdatastore03"
"0","09/03/2013 19:31:40","vmhost10 -vmdatastore01"
"0","09/03/2013 19:31:40","vmhost6 - vmdatastore07"
"2","09/03/2013 19:31:40","vmhost7 - vmdatastore10"
"2","09/03/2013 19:31:40","vmhost10 - vmdatastore09"
"1","09/03/2013 19:31:40","vmhost7 - vmdatastore05"
"0","09/03/2013 19:31:40","vmhost10 - vmdatastore06"
"0","09/03/2013 19:31:40","vmhost4 - vmdatastore05"
"0","09/03/2013 19:31:40","vmhost1 - vmdatastore07"
"1","09/03/2013 19:31:40","vmhost2 - vmdatastore09"
"0","09/03/2013 19:31:40","vmhost11 - vmdatastore10"
"1","09/03/2013 19:31:40","vmhost4 - vmdatastore02"
"0","09/03/2013 19:31:40","vmhost7 -vmdatastore01"
"0","09/03/2013 19:31:40","vmhost10 - vmdatastore01"
"0","09/03/2013 19:31:40","vmhost7 - vmdatastore07"
"0","09/03/2013 19:31:40","vmhost8 - vmdatastore08"
"0","09/03/2013 19:31:40","vmhost7 - vmdatastore03"
"0","09/03/2013 19:31:40","vmhost1 -vmdatastore01"
"2","09/03/2013 19:31:40","vmhost11 - vmdatastore02"
"1","09/03/2013 19:31:40","vmhost8 - vmdatastore05"
"0","09/03/2013 19:31:40","vmhost4 - vmdatastore04"
"0","09/03/2013 19:31:40","vmhost5 - vmdatastore10"
"2","09/03/2013 19:31:40","vmhost4 - vmdatastore08"
"0","09/03/2013 19:31:40","vmhost9 - vmdatastore04"
"12","09/03/2013 19:31:40","vmhost9 - vmdatastore02"
"0","09/03/2013 19:31:40","vmhost5 - vmdatastore01"
"0","09/03/2013 19:31:40","vmhost6 -vmdatastore01"
"3","09/03/2013 19:31:40","vmhost3 - vmdatastore01"
"0","09/03/2013 19:31:40","vmhost4 - vmdatastore03"
"1","09/03/2013 19:31:40","vmhost8 - vmdatastore10"
"2","09/03/2013 19:31:40","vmhost1 - vmdatastore10"
"0","09/03/2013 19:31:40","vmhost4 - vmdatastore09"
"0","09/03/2013 19:31:40","vmhost11 - vmdatastore05"
"0","09/03/2013 19:31:40","vmhost6 - vmdatastore08"
"0","09/03/2013 19:31:40","vmhost8 -vmdatastore01"
"0","09/03/2013 19:31:40","vmhost2 - vmdatastore04"
"1","09/03/2013 19:31:40","vmhost6 - vmdatastore02"
"0","09/03/2013 19:31:40","vmhost10 - vmdatastore05"
"0","09/03/2013 19:31:40","vmhost4 -vmdatastore01"
"0","09/03/2013 19:31:40","vmhost8 - vmdatastore01"
"0","09/03/2013 19:31:40","vmhost2 - vmdatastore02"
"0","09/03/2013 19:31:40","vmhost7 - vmdatastore08"
"0","09/03/2013 19:31:40","vmhost11 - vmdatastore03"
"0","09/03/2013 19:31:40","vmhost3 -vmdatastore01"
"0","09/03/2013 19:31:40","vmhost11 - vmdatastore08"
"5","09/03/2013 19:31:40","vmhost4 - vmdatastore10"
"1","09/03/2013 19:31:40","vmhost10 - vmdatastore02"
"0","09/03/2013 19:31:40","vmhost8 - vmdatastore04"
"0","09/03/2013 19:31:40","vmhost3 - vmdatastore06"
"0","09/03/2013 19:31:40","vmhost2 - vmdatastore07"
"0","09/03/2013 19:31:40","vmhost5 - vmdatastore04"
"6","09/03/2013 19:31:40","vmhost1 - vmdatastore09"
"0","09/03/2013 19:31:40","vmhost3 - vmdatastore05"
"1","09/03/2013 19:31:40","vmhost6 - vmdatastore05"
"0","09/03/2013 19:31:40","vmhost10 - vmdatastore07"
"0","09/03/2013 19:31:40","vmhost4 - vmdatastore01"
"0","09/03/2013 19:31:40","vmhost10 - vmdatastore08"
"0","09/03/2013 19:31:40","vmhost8 - vmdatastore03"
"0","09/03/2013 19:31:40","vmhost4 - vmdatastore07"
"0","09/03/2013 19:31:40","vmhost8 - vmdatastore09"
"0","09/03/2013 19:31:40","vmhost7 - vmdatastore01"
"0","09/03/2013 19:31:40","vmhost6 - vmdatastore06"
"0","09/03/2013 19:31:40","vmhost2 - vmdatastore05"
"0","09/03/2013 19:31:40","vmhost9 - vmdatastore07"
"7","09/03/2013 19:31:40","vmhost11 - vmdatastore09"
"0","09/03/2013 19:31:40","vmhost3 - vmdatastore07"
"0","09/03/2013 19:31:40","vmhost5 - vmdatastore08"
"6","09/03/2013 19:31:40","vmhost9 - vmdatastore01"
"0","09/03/2013 19:31:40","vmhost6 - vmdatastore03"
"0","09/03/2013 19:31:40","vmhost7 - vmdatastore04"
"0","09/03/2013 19:31:40","vmhost1 - vmdatastore04"
"1","09/03/2013 19:31:40","vmhost6 - vmdatastore10"
"0","09/03/2013 19:31:40","vmhost8 - vmdatastore06"
"0","09/03/2013 19:31:40","vmhost9 - vmdatastore05"
"9","09/03/2013 19:31:40","vmhost5 - vmdatastore09"
"0","09/03/2013 19:31:40","vmhost11 -vmdatastore01"
"0","09/03/2013 19:31:40","vmhost10 - vmdatastore03"
"0","09/03/2013 19:31:40","vmhost5 - vmdatastore02"
"1","09/03/2013 19:31:40","vmhost9 - vmdatastore10"
"0","09/03/2013 19:31:40","vmhost1 - vmdatastore08"
"1","09/03/2013 19:31:40","vmhost1 - vmdatastore01"
"0","09/03/2013 19:31:40","vmhost3 - vmdatastore08"
"0","09/03/2013 19:31:40","vmhost2 - vmdatastore01"
"80","09/03/2013 19:31:40","vmhost5 - vmdatastore05"
"0","09/03/2013 19:31:40","vmhost9 -vmdatastore01"
"0","09/03/2013 19:31:40","vmhost2 - vmdatastore08"
"0","09/03/2013 19:31:40","vmhost6 - vmdatastore04"
"0","09/03/2013 19:31:40","vmhost3 - vmdatastore03"
"0","09/03/2013 19:31:40","vmhost2 - vmdatastore06"
"1","09/03/2013 19:31:40","vmhost3 - vmdatastore10"
"0","09/03/2013 19:31:40","vmhost1 - vmdatastore03"
"6","09/03/2013 19:31:40","vmhost7 - vmdatastore09"
"4","09/03/2013 19:31:40","vmhost9 - vmdatastore09"
"0","09/03/2013 19:31:40","vmhost5 - vmdatastore07"
"0","09/03/2013 19:31:40","vmhost11 - vmdatastore06"
"0","09/03/2013 19:31:40","vmhost10 - vmdatastore04"
"0","09/03/2013 19:31:40","vmhost9 - vmdatastore08"
"0","09/03/2013 19:31:40","vmhost11 - vmdatastore01"
"0","09/03/2013 19:31:40","vmhost7 - vmdatastore06"
"0","09/03/2013 19:31:40","vmhost1 - vmdatastore05"
"7","09/03/2013 19:31:40","vmhost10 - vmdatastore10"
"0","09/03/2013 19:31:40","vmhost3 - vmdatastore09"
"0","09/03/2013 19:31:40","vmhost4 - vmdatastore06"
"0","09/03/2013 19:31:40","vmhost9 - vmdatastore03"
"0","09/03/2013 19:31:40","vmhost5 - vmdatastore06"
"0","09/03/2013 19:31:40","vmhost11 - vmdatastore07"
"0","09/03/2013 19:31:40","vmhost3 - vmdatastore02"
"0","09/03/2013 19:31:40","vmhost1 - vmdatastore06"
"0","09/03/2013 19:31:40","vmhost3 - vmdatastore04"
"1","09/03/2013 19:31:40","vmhost5 -vmdatastore01"
"10","09/03/2013 19:31:40","vmhost6 - vmdatastore01"
"0","09/03/2013 19:31:40","vmhost8 - vmdatastore02"
"0","09/03/2013 19:31:40","vmhost2 -vmdatastore01"
"0","09/03/2013 19:31:40","vmhost2 - vmdatastore10"
"1","09/03/2013 19:32:00","vmhost3 - vmdatastore10"
"0","09/03/2013 19:32:00","vmhost10 - vmdatastore01"
"0","09/03/2013 19:32:00","vmhost2 - vmdatastore05"
"0","09/03/2013 19:32:00","vmhost6 - vmdatastore08"
"0","09/03/2013 19:32:00","vmhost11 - vmdatastore02"
"3","09/03/2013 19:32:00","vmhost6 - vmdatastore05"
"0","09/03/2013 19:32:00","vmhost11 - vmdatastore06"
"0","09/03/2013 19:32:00","vmhost8 -vmdatastore01"
"0","09/03/2013 19:32:00","vmhost10 - vmdatastore07"
"3","09/03/2013 19:32:00","vmhost6 - vmdatastore01"
"0","09/03/2013 19:32:00","vmhost3 - vmdatastore08"
"0","09/03/2013 19:32:00","vmhost1 -vmdatastore01"
"0","09/03/2013 19:32:00","vmhost7 - vmdatastore03"
"0","09/03/2013 19:32:00","vmhost2 - vmdatastore02"
"0","09/03/2013 19:32:00","vmhost4 -vmdatastore01"
"0","09/03/2013 19:32:00","vmhost2 - vmdatastore08"
"0","09/03/2013 19:32:00","vmhost6 - vmdatastore04"
"0","09/03/2013 19:32:00","vmhost6 - vmdatastore02"
"0","09/03/2013 19:32:00","vmhost8 - vmdatastore01"
"0","09/03/2013 19:32:00","vmhost3 - vmdatastore03"
"2","09/03/2013 19:32:00","vmhost1 - vmdatastore01"
"0","09/03/2013 19:32:00","vmhost4 - vmdatastore09"
"2","09/03/2013 19:32:00","vmhost4 - vmdatastore02"
"0","09/03/2013 19:32:00","vmhost3 - vmdatastore02"
"2","09/03/2013 19:32:00","vmhost8 - vmdatastore08"
"2","09/03/2013 19:32:00","vmhost1 - vmdatastore10"
"0","09/03/2013 19:32:00","vmhost7 - vmdatastore02"
"0","09/03/2013 19:32:00","vmhost7 - vmdatastore06"
"0","09/03/2013 19:32:00","vmhost8 - vmdatastore06"
"1","09/03/2013 19:32:00","vmhost4 - vmdatastore05"
"2","09/03/2013 19:32:00","vmhost7 - vmdatastore10"
"3","09/03/2013 19:32:00","vmhost4 - vmdatastore08"
"0","09/03/2013 19:32:00","vmhost11 -vmdatastore01"
"1","09/03/2013 19:32:00","vmhost10 - vmdatastore09"
"0","09/03/2013 19:32:00","vmhost10 - vmdatastore03"
"4","09/03/2013 19:32:00","vmhost6 - vmdatastore09"
"2","09/03/2013 19:32:00","vmhost8 - vmdatastore07"
"0","09/03/2013 19:32:00","vmhost8 - vmdatastore02"
"0","09/03/2013 19:32:00","vmhost11 - vmdatastore01"
"0","09/03/2013 19:32:00","vmhost6 - vmdatastore07"
"0","09/03/2013 19:32:00","vmhost11 - vmdatastore10"
"1","09/03/2013 19:32:00","vmhost6 - vmdatastore10"
"0","09/03/2013 19:32:00","vmhost10 -vmdatastore01"
"0","09/03/2013 19:32:00","vmhost8 - vmdatastore09"
"0","09/03/2013 19:32:00","vmhost10 - vmdatastore04"
"0","09/03/2013 19:32:00","vmhost7 - vmdatastore04"
"2","09/03/2013 19:32:00","vmhost3 - vmdatastore01"
"4","09/03/2013 19:32:00","vmhost10 - vmdatastore10"
"0","09/03/2013 19:32:00","vmhost3 -vmdatastore01"
"0","09/03/2013 19:32:00","vmhost4 - vmdatastore07"
"0","09/03/2013 19:32:00","vmhost6 -vmdatastore01"
"0","09/03/2013 19:32:00","vmhost4 - vmdatastore06"
"2","09/03/2013 19:32:00","vmhost8 - vmdatastore05"
"0","09/03/2013 19:32:00","vmhost2 - vmdatastore07"
"0","09/03/2013 19:32:00","vmhost3 - vmdatastore04"
"0","09/03/2013 19:32:00","vmhost11 - vmdatastore08"
"0","09/03/2013 19:32:00","vmhost6 - vmdatastore03"
"0","09/03/2013 19:32:00","vmhost3 - vmdatastore06"
"0","09/03/2013 19:32:00","vmhost1 - vmdatastore09"
"0","09/03/2013 19:32:00","vmhost5 - vmdatastore02"
"0","09/03/2013 19:32:00","vmhost11 - vmdatastore04"
"1","09/03/2013 19:32:00","vmhost9 - vmdatastore10"
"0","09/03/2013 19:32:00","vmhost1 - vmdatastore07"
"0","09/03/2013 19:32:00","vmhost9 - vmdatastore05"
"0","09/03/2013 19:32:00","vmhost2 - vmdatastore03"
"0","09/03/2013 19:32:00","vmhost5 - vmdatastore03"
"11","09/03/2013 19:32:00","vmhost5 - vmdatastore09"
"0","09/03/2013 19:32:00","vmhost4 - vmdatastore03"
"2","09/03/2013 19:32:00","vmhost7 - vmdatastore05"
"0","09/03/2013 19:32:00","vmhost10 - vmdatastore02"
"0","09/03/2013 19:32:00","vmhost5 - vmdatastore04"
